site_name,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,avulsion_start_date
MALAWI1.2014,1984.0,-0.15408238794361465,0.008657910080295367,0.03252126742671703,0.1697067954664328,0.2569233984173279,0.49901488678028133,fan,Africa,2014
MALAWI1.2014,1985.0,-0.4014014055678114,-0.2901858933140055,0.11361557320012369,0.25737891797917695,-0.14003979227038907,0.3006171557428657,fan,Africa,2014
MALAWI1.2014,1986.0,0.620611697731379,0.779272625338777,0.7544669402634288,0.887410816546486,1.289027694205392,0.8534772736258861,fan,Africa,2014
MALAWI1.2014,1987.0,-0.4253673842986278,-0.3209228177998797,-0.16330989304460225,-0.05069161664766196,0.05844180307346941,0.4063612476929994,fan,Africa,2014
MALAWI1.2014,1988.0,-0.6286458276056286,-0.5962327450265094,-0.48809429345578104,-0.4468064329464673,-0.6957882592331929,-0.11318048365504739,fan,Africa,2014
MALAWI1.2014,1989.0,3.483063724389852,2.5573759566338676,2.8532140180354992,2.4311762797518957,1.8844724802369675,1.0009195625262302,fan,Africa,2014
MALAWI1.2014,1990.0,0.23406755965431594,0.4213025827535586,0.14943963686727385,0.2954773233703038,0.6538865891050448,0.6557376113571247,fan,Africa,2014
MALAWI1.2014,1991.0,-0.3233266707333996,-0.19234064711554996,0.361930206380455,0.5139683013262654,0.5347976318987298,0.6120627176844199,fan,Africa,2014
MALAWI1.2014,1992.0,-1.4600429248138422,-2.136660477534073,-1.2558346126834339,-1.5880630567543026,-1.4103220024710834,-2.3201560986305307,fan,Africa,2014
MALAWI1.2014,1993.0,0.29336490568018214,0.4792908996444135,0.006591179908317635,0.1412436379925264,0.49510131282995806,0.5969199747980061,fan,Africa,2014
MALAWI1.2014,1994.0,-0.7365544998807207,-0.7542330920842107,-1.0370902961977475,-1.2267550704971262,-0.814877216439508,-0.24198917323834385,fan,Africa,2014
MALAWI1.2014,1995.0,-1.2226685530032058,-1.6038130552192398,-1.3897107402309303,-1.8273185365196198,-1.4103220024710834,-2.3201560986305307,fan,Africa,2014
MALAWI1.2014,1996.0,-0.00015656578589791324,0.17967447868167183,-0.4341429263439619,-0.37809614271515535,0.1378344412110128,0.4448076378970614,fan,Africa,2014
MALAWI1.2014,1997.0,1.5759153756973698,1.5059912259119927,0.8024360895545902,0.9306421255019663,0.6935829081738165,0.6697481179567139,fan,Africa,2014
MALAWI1.2014,1998.0,0.03048035547823913,0.21249605259150064,-0.5889430482498259,-0.5786536290534909,-0.37821770668301924,0.15020638660866706,fan,Africa,2014
MALAWI1.2014,1999.0,-0.753973072051057,-0.7805983456111742,-0.7867893108077354,-0.8513282077790598,-1.0133588117833665,-0.5228370060035334,fan,Africa,2014
MALAWI1.2014,2000.0,-0.4493642470226538,-0.35204270412510524,-0.6212799404912975,-0.6219118106991843,-0.5766993020268777,-0.003295274655486678,fan,Africa,2014
