site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,reach_ID,y_pred,date,year,month
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,237.2612,2006-08-10,2006.0,8.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,152.05373,2006-08-26,2006.0,8.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,112.48998,2006-09-11,2006.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,389.44318,2006-12-16,2006.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,243.26523,2007-01-01,2007.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,92.52945,2007-05-09,2007.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,103.89717,2008-01-20,2008.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,384.13287,2008-03-24,2008.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,179.45473,2008-04-25,2008.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,109.750305,2008-05-11,2008.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,106.72424,2008-05-27,2008.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,99.69942,2008-06-12,2008.0,6.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,84.24317,2008-06-28,2008.0,6.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,67.82913,2008-07-30,2008.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,101.4035,2008-10-02,2008.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,189.4572,2009-03-27,2009.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,101.428,2009-05-14,2009.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,42.22337,2009-05-30,2009.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,178.69833,2010-04-15,2010.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,86.50715,2010-05-17,2010.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,30.159788,1999-10-02,1999.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,91.983406,1999-12-21,1999.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,63.456455,2000-02-23,2000.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,98.850044,2000-04-27,2000.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,268.44904,2000-07-16,2000.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,38.269924,2000-10-04,2000.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,374.40662,2000-11-05,2000.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,212.40659,2001-02-25,2001.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,387.19797,2001-03-29,2001.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,361.89954,2001-04-30,2001.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,83.361916,2001-08-20,2001.0,8.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,100.06898,2001-09-05,2001.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,116.415985,2001-10-23,2001.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,192.00322,2001-12-26,2001.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,169.57768,2002-01-27,2002.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,115.33476,2002-05-03,2002.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,109.10644,2002-05-19,2002.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,307.11557,2002-11-27,2002.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,72.64663,2002-12-29,2002.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,244.28432,2003-01-14,2003.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,276.99426,2003-03-03,2003.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,271.9022,2003-03-19,2003.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,201.8718,2003-04-20,2003.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,248.33688,2003-11-14,2003.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,117.482704,2004-04-22,2004.0,4.0
