site_name,avulsion_year,av_type,site_area,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur
A001,1987,fan,South America,1983.0,-0.7103946879475282,-0.4761247542893739,-0.6058418688893579,-0.47791361040567565,-1.0952865783201589,-1.6717959054383664
A001,1987,fan,South America,1984.0,-1.1852217968009071,-1.000081141465068,-1.113101090945584,-1.0649579228346358,-1.0952865783201589,-1.6717959054383664
A001,1987,fan,South America,1985.0,1.3309802304063012,1.0257306377163105,1.2486015711130214,1.114574800301738,1.5570740702450963,1.0207603082628887
A001,1987,fan,South America,1986.0,2.143494914990333,1.4430764364027628,2.5072799030990995,1.9047148808585301,1.7112810846965645,1.054451390004131
A001,1987,fan,South America,1987.0,0.07910701730402414,0.21170240917276686,0.5691791705332112,0.6065408121327243,-0.20088589450164257,0.3788318505974707
A001,1987,fan,South America,1988.0,-0.7369054730410279,-0.5027336126133984,-0.30741195870255666,-0.17126548053218527,-1.0952865783201589,-1.6717959054383664
A001,1987,fan,South America,1989.0,-0.11028636780481159,0.06265436341522829,0.10996068223188322,0.2193079710273899,-0.41677571473369823,0.21863582979128593
A001,1987,fan,South America,1990.0,1.0189077066548957,0.8455758383803156,1.169546379494165,1.0588934281743827,1.0019288182198103,0.8810039900195885
A001,1987,fan,South America,1991.0,0.36183209759712365,0.41929962106166346,1.025053105797624,0.9549251725763915,0.6009905806459926,0.7551428983288332
A001,1987,fan,South America,1992.0,0.005738408658258177,0.15498126871483434,-0.1958615309511214,-0.06281338143931657,-0.0158374771598806,0.48875597523108316
A001,1987,fan,South America,1993.0,1.2929309287132644,1.0044276325525694,1.2974706863139065,1.148584360824325,1.7421224875868582,1.060969437075144
A001,1987,fan,South America,1994.0,0.1465037624553658,0.2627291102605825,0.9889698757429713,0.9285038968954206,0.5084663719751117,0.7219466163543105
A001,1987,fan,South America,1995.0,-0.15754940174638637,0.024075705374431575,0.04197327944339035,0.15840619345298723,-0.07752028294046792,0.4542943969224757
A001,1987,fan,South America,1996.0,-0.1480370763231276,0.03188673500284492,-0.6305492069918588,-0.5044670412574156,-0.3242515060628172,0.2925544226940355
A001,1987,fan,South America,1997.0,0.1726093371595574,0.2822255940853974,-0.22871966110627595,-0.09443293505623152,0.16921094018188138,0.5816954983442905
A001,1987,fan,South America,1998.0,1.043989533331471,0.8605297724985577,0.6385148665558813,0.6616694270068691,1.2486600413421596,0.9471429461842464
A001,1987,fan,South America,1999.0,-0.8340762233288491,-0.6026821415712957,-0.31251679365594526,-0.17630469865215304,-0.9410795638686905,-0.5915199651036417
A001,1987,fan,South America,2000.0,-0.32825938535124266,-0.12028342906851033,-0.3855625324739401,-0.24916641662578923,-0.5092999234045792,0.13437147047559062
A001,1987,fan,South America,2001.0,-0.7658263548211606,-0.5320782574379954,-0.9589485304285792,-0.8766032160504343,-1.0952865783201589,-1.6717959054383664
A001,1987,fan,South America,2002.0,0.8474299120293276,0.7409473824198312,0.4913315523456125,0.5436587693297742,1.6495982789159773,1.041200010825773
A001,1987,fan,South America,2003.0,-0.4114389125949881,-0.19366527084650945,-0.3656631420926795,-0.2291758496741156,-0.8485553551978096,-0.3470595849817616
A001,1987,fan,South America,2004.0,-0.043102903492556445,0.11651801412936144,-0.007873927941126223,0.11311438734971838,0.35425935752364335,0.6622033752156259
A001,1987,fan,South America,2005.0,-0.832369976616157,-0.6008932671734389,-0.6550783879375103,-0.5310171124670228,-1.0952865783201589,-1.6717959054383664
A001,1987,fan,South America,2006.0,-1.0458214403739532,-0.8349135680967148,-1.31734931398992,-1.3301195752743908,-1.0952865783201589,-1.6717959054383664
A001,1987,fan,South America,2007.0,-1.061348285459452,-0.852795263863737,-1.5405018012017493,-1.643115013809622,-1.0027623696492778,-0.8359803452255216
A001,1987,fan,South America,2008.0,-0.6989414836836261,-0.464713614098036,-0.9443622975133097,-0.8592630438887572,-1.0336037725395715,-1.009427745210064
A001,1987,fan,South America,2009.0,-0.4851487705832914,-0.26048617461558576,-1.0702973300718717,-1.0116973639239741,-0.7251897436366349,-0.125353357412387
A001,1987,fan,South America,2010.0,-0.757465745928969,-0.5235607587864892,-0.6874570841565997,-0.5663549578296045,-1.0336037725395715,-1.009427745210064
A001,1987,fan,South America,2011.0,1.517984870117369,1.127945244146205,1.3562916519009558,1.1891131539147741,1.4337084586839215,0.9923826714067369
A001,1987,fan,South America,2012.0,0.16377951042137448,0.27564768688350505,-0.010341223027756669,0.11085823999600376,0.2617351488527624,0.6232922307193505
A001,1987,fan,South America,2013.0,0.1611774841845187,0.2737060629734813,0.16424915209355914,0.26723522679191153,0.20005234307217504,0.5958823524689083
A001,1987,fan,South America,2014.0,1.4524649963499872,1.092592300624748,0.8164144145815195,0.7995025657345753,1.1561358326712785,0.9231829662659818
A001,1987,fan,South America,2015.0,0.43451820755781184,0.4700747528260716,-0.26639008220750166,-0.13101589898349023,0.5393077748654054,0.7332163553529633
A001,1987,fan,South America,2016.0,1.8527504751475796,1.3013754801215949,1.4363843044604154,1.2436007056429323,1.6495982789159773,1.041200010825773
A001,1987,fan,South America,2017.0,-1.032683340686223,-0.8198792025306291,-0.30999365152756164,-0.17381313872433335,-0.8793967580881031,-0.4180725651190992
A001,1987,fan,South America,2018.0,0.05487829214383646,0.19310892427837192,0.5902446272432693,0.6233761332551525,-0.10836168583076158,0.43629564296461665
A001,1987,fan,South America,2019.0,-2.736200058638129,-4.435920516584683,-2.5376438071376715,-3.49308346783643,-1.0952865783201589,-1.6717959054383664
A002,1987,fan,South America,1983.0,-0.8622541065239616,-0.8957172851416849,-1.3511321738324058,-1.841289780166533,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,1984.0,-0.5730951270292332,-0.45450701614973044,-0.6927166351297387,-0.6295227638735686,-0.6972653288186439,-0.47502307839934665
A002,1987,fan,South America,1985.0,0.560330090522103,0.7250096183134582,0.09236081679130512,0.29450416074405156,0.28840376557448894,0.8318084725796459
A002,1987,fan,South America,1986.0,1.202725767649178,1.1881987566595984,1.715324185109976,1.5052909871205962,1.9169005302240127,1.310027182457991
A002,1987,fan,South America,1987.0,-0.08508187414072525,0.1327093061356452,-0.42307767962661513,-0.2699939459302932,-0.290141137656263,0.4300264661682867
A002,1987,fan,South America,1988.0,-0.5098266567670614,-0.36883041945438233,-0.024439206249330686,0.17788035236188657,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,1989.0,0.9520060622381531,1.0189451267912586,0.5872603186263432,0.7333147557636972,0.9740866138479727,1.0877681373041268
A002,1987,fan,South America,1990.0,-0.17961673959059848,0.030651282845817553,-0.17245208797832137,0.021315127574340724,-0.3972790826989948,0.3031982090105342
A002,1987,fan,South America,1991.0,0.24119215564152027,0.4521908312533419,0.4518806502058355,0.6211384563522305,0.8883762578137872,1.061892358592912
A002,1987,fan,South America,1992.0,-1.1199811628564649,-1.3821554066392674,-1.0852316667598663,-1.2754896078569793,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,1993.0,0.4710185522682934,0.6520411603092805,0.149134879323385,0.3491803465996978,0.2455485875573962,0.8106868566320343
A002,1987,fan,South America,1994.0,0.24972604232804602,0.45994905491370786,0.0876703078063848,0.289929922774261,0.20269340954030346,0.7886661826988629
A002,1987,fan,South America,1995.0,-0.0029064307885787125,0.2176966929527262,-0.07653413348703833,0.12394962657711248,-0.20443078162207748,0.5129889944501868
A002,1987,fan,South America,1996.0,-0.3932213947141054,-0.21925079508869075,-0.10321415542938381,0.09584569568554863,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,1997.0,-0.2901158585833684,-0.09504082009837193,-0.09504451111007808,0.1044868866616426,-0.6329825617930048,-0.18547353801304212
A002,1987,fan,South America,1998.0,-0.4260695016583609,-0.2603586862582005,-0.8314355183816514,-0.8382336426646434,-0.6544101508015512,-0.26523229295969425
A002,1987,fan,South America,1999.0,0.13716701965232186,0.35532906806816417,0.03682022793168776,0.23976396482618487,-0.18300319261353112,0.5318058950481102
A002,1987,fan,South America,2000.0,-0.9488436291967242,-1.0473367799802131,-0.6990933798673412,-0.6387236216095101,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2001.0,-1.3283808921977802,-1.8746171455849838,-1.5085217146459637,-2.253600569004993,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2002.0,-0.810020834563331,-0.809113488311111,-0.8949381572534628,-0.9402914559415959,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2003.0,-0.9731210654601157,-1.091813247388343,-0.9751045087256531,-1.075758197431415,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2004.0,-0.9468205095081081,-1.043671095352043,-0.9794792701534296,-1.0833788784478022,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2005.0,-0.542086219801901,-0.412094173232298,-0.8937472165588126,-0.9383363481966417,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2006.0,-0.004524926539472013,0.21605444342440372,-0.06806167942341265,0.1328048285886158,-0.22585837063062386,0.4934618566226836
A002,1987,fan,South America,2007.0,-1.3286015867471084,-1.8752024289746736,-1.2535269786332335,-1.6175704596827039,-0.7615480958442831,-1.1923025114604988
A002,1987,fan,South America,2008.0,-0.3532188008710171,-0.1702153789949674,-0.04089125525520882,0.16098105161698503,-0.6329825617930048,-0.18547353801304212
