site_name,avulsion_year,p95_zscore,p95_mean,mean_zscore,med_zscore,av_type,site_area
A001,1987,1.458240396187594,60.647200509722225,1.5081521693702842,1.59266544370065,fan,South America
A002,1987,0.8755766216011347,92.32406675972223,0.6163203042001708,0.3956452997546466,fan,South America
A004,2002,-0.8851250930661592,99.87150606527777,-1.2514338508243212,-1.386150881453127,fan,South America
A005,1993,-0.34266875358419474,8.855620659722224,-0.4103302789522062,-0.5264721475244821,fan,South America
A006,1985,1.2949672506971144,17.047265616666664,0.7563847839268555,-0.17052685951074067,fan,South America
A009,1991,1.0134192679193286,106.73280165972224,1.6614077035286856,1.524868701401533,fan,South America
A012,2006,0.12449525525009797,1681.129568611111,0.04473628369555051,-0.1387579562825511,fan,South America
A014,2005,0.22789703515195256,1036.4607815833333,0.20995838395236743,0.36935117260873496,fan,South America
A015,1998,1.0382684265432938,1041.398813263889,0.4130615159706439,-0.04121061706157055,fan,South America
A016,1995,0.09775453906569037,1045.5642572916668,0.4377317699630334,1.1881268954486226,fan,South America
A017,1991,1.42939678685582,1089.8921450694445,2.0410484852943753,1.5925946964703743,fan,South America
A018,1997,-0.7182438703859395,58.661490902777786,-0.6082943708847185,-0.3317706671696608,fan,South America
A020,1989,0.7023058311160515,183.53745698611112,0.4882998671959452,0.1528347254844764,fan,South America
A022,1992,0.34704917859890627,85.97102867361112,1.4640780293647886,1.7362997029800629,fan,South America
A023,1999,-0.4003935312194046,74.05677083333333,-0.1933008999015205,0.3219685211533009,fan,South America
A024,1998,-0.5266885770755216,194.11540788888888,-0.32576838579618855,0.12776037545672017,fan,South America
A025,1991,0.5297154429272717,255.97684472222227,0.8469847577798993,0.8643307540929714,fan,South America
A026,2002,-0.8123760487803992,187.49618016666668,-1.0644542113406898,-0.5680210504413171,fan,South America
A027,1991,0.48422807744787033,91.56121947916667,0.5999540289995535,0.62995099215773,fan,South America
A028,1993,0.2024327290253272,17.110720486111113,0.7577782316155337,1.2569125016238791,fan,South America
A030,2002,-0.9126628799356216,91.56121947916667,-0.7651740390398097,-0.1485263908871983,fan,South America
A035,1994,-0.35419613201327743,1280.1079406944448,-0.36769832632900606,-0.2715857240026485,fan,South America
A037,1990,-0.3073966261125923,42.05798612222222,-0.36156116641211716,-0.3430476740531946,fan,South America
A042,1995,0.7722197480229548,756.0694009722222,0.27568556700425084,-0.1812955577762357,fan,South America
A044,1991,1.8740378454811624,1783.6981750000004,1.5972660876842755,1.2054715526810122,fan,South America
A045,1992,0.9086224115989673,1214.7841864583334,0.9921256879358621,0.7663398320828557,fan,South America
A047,2002,-0.5655688909038507,265.55936375,-1.3580287708883576,-1.671380259367735,fan,South America
A048,2000,-0.7381979933988824,154.2506292777778,-0.6999117170839487,-0.5986493130058951,fan,South America
A049,1992,0.9082120152320093,1216.2381701388886,0.9941136394990491,0.7656624351862532,fan,South America
A050,1987,-0.8099143476119437,133.44796004861112,-1.038454922849656,-0.7419420232515055,fan,South America
A051,1998,-0.19727412729862978,265.55936375,-0.3870615345031068,-0.2803781579154775,fan,South America
AFR0211.1998,1998,-0.481340128652128,179.2379233541667,-0.5479346011967242,-0.5686529423417316,delta,Africa
ANGO2.2003,2003,0.21926742551817244,122.38348533333334,0.4225566288834379,0.7071526517682873,delta,Africa
ARG.001.2001,2001,0.7896049901804997,922.5101794166668,1.001204849844596,0.7746518132328615,delta,South America
