site_name,avulsion_year,av_type,site_area,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur
A001,1987,fan,South America,1984.0,-1.19628070422598,-1.0017984429817932,-1.1150069547421915,-1.0603617366756806,-1.1088675358120177,-1.6944294636531927
A001,1987,fan,South America,1985.0,1.3023313427925176,1.0015903048211214,1.2210180476216443,1.08948924999602,1.481668974748036,1.0005313986840583
A001,1987,fan,South America,1986.0,2.1093301604744275,1.4144442744130792,2.4688585195921804,1.8712890292034696,1.7313592408261136,1.0558632693011556
A001,1987,fan,South America,1987.0,0.058956641966777606,0.1963233377835519,0.5474458191483871,0.586817800269623,-0.20374032127898686,0.37428478132671633
A001,1987,fan,South America,1988.0,-0.7515162361440454,-0.5104233182083145,-0.32159741503898315,-0.18277837999639515,-1.1088675358120177,-1.6944294636531927
A001,1987,fan,South America,1989.0,-0.1291510202816307,0.04887947337998505,0.09218143537581937,0.20367238450398886,-0.4222193040973046,0.21267583535619244
A001,1987,fan,South America,1990.0,0.9923773659886094,0.8233744840772609,1.1426435613732497,1.0343956210227139,0.9822884425918812,0.8720066225214012
A001,1987,fan,South America,1991.0,0.33976240444030215,0.401686212584994,0.9993944481851682,0.9315247994162267,0.5141191936954859,0.7204258113088124
A001,1987,fan,South America,1992.0,-0.013913893859183141,0.14021267829795392,-0.21100749315304276,-0.07547104397865852,-0.04768390498018843,0.4680440288644595
A001,1987,fan,South America,1993.0,1.2645403439804497,0.9805165806485773,1.2694663749085955,1.123139823561108,1.6689366743065943,1.042495013267748
A001,1987,fan,South America,1994.0,0.12589585510922843,0.24680084628032262,0.9636219130763989,0.9053824127659933,0.48290791043572623,0.7088401054954753
A001,1987,fan,South America,1995.0,-0.17609320266254025,0.010716031543974889,0.024779438672040195,0.14341345392618865,-0.1101064714997078,0.43225540300126525
A001,1987,fan,South America,1996.0,-0.16664545295952365,0.01844299225339278,-0.6419522874235211,-0.5124628410390459,-0.3285854543180256,0.2872463885229937
A001,1987,fan,South America,1997.0,0.15182420855428,0.26608749242722085,-0.2435826981112313,-0.10675683828860232,0.10837251131860999,0.5492619833306477
A001,1987,fan,South America,1998.0,1.0172889212593443,0.838167471286343,0.6161844995964837,0.641364506603325,1.2631899919297183,0.9476083675114901
A001,1987,fan,South America,1999.0,-0.8480273295228457,-0.6092961164131098,-0.3266582947694834,-0.18776440679153353,-0.9528111195132193,-0.6046255147396795
A001,1987,fan,South America,2000.0,-0.34564429822968695,-0.13208938758138694,-0.3990750726592385,-0.25985703495478735,-0.5158531538765837,0.1276682663581661
