year,p95_q,mean_q,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,site_name,av_type,site_lat,site_lon,site_area,avulsion_start_date
1984.0,75.28346,75.28346,-1.5253966793365576,-2.0845253611070724,-1.2647851666491732,-1.2575290917276212,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1985.0,69.18366365,44.1844865,-1.5615923918052594,-2.2180282101769255,-2.11216703579091,-2.8205733731860185,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1989.0,104.3823255,65.5973812,-1.3527262968567506,-1.5681828583989206,-1.5287105196257964,-1.6614982108464744,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1990.0,173.14758999999998,86.19135636363636,-0.9446786180721563,-0.7685722553535387,-0.9675678450220613,-0.8606442656185384,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1991.0,151.07155,77.66696855555557,-1.075676105600992,-0.9840691330738225,-1.1998395524499779,-1.1661035457679536,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1992.0,128.071494,107.73418480000001,-1.2121566315024912,-1.24502900790318,-0.3805709067788879,-0.20626398374498667,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1993.0,106.155068,77.92529576923076,-1.3422069820912585,-1.5415748344681226,-1.1928006771258692,-1.1563637703316025,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1994.0,430.26938,153.83299480952383,0.5810618896872506,0.6696460320541381,0.8755250795108235,0.8385309680468217,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1995.0,261.4174499999999,108.73244300000002,-0.4208922014629236,-0.11765472170441116,-0.35337046238473213,-0.17921061204287964,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1996.0,345.93466,118.86861047619047,0.0806262847758683,0.32495166410914994,-0.07718113601008682,0.08221808718451457,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1997.0,204.28083500000002,104.05729818750001,-0.7599363874175779,-0.5073178276915375,-0.480758363137294,-0.3081188469843936,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1998.0,136.3225229999999,78.05023899999999,-1.163195673444454,-1.1463820993160687,-1.1893962358691237,-1.1516645833348889,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
1999.0,238.5113999999997,108.70803346666666,-0.5568149031435656,-0.26254262802760614,-0.3540355710250831,-0.17986915706830947,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2000.0,195.711005,76.24215932258068,-0.8107890855712887,-0.5750310504191258,-1.2386626187807257,-1.2204124620355237,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2001.0,310.7045,106.53600230769231,-0.1284267177209063,0.15524807960319162,-0.4132188692559966,-0.23906838636727704,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2002.0,151.20483,80.63223537500001,-1.0748852325486764,-0.9826758263157773,-1.119042244462793,-1.0562023956330684,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2003.0,454.74708499999974,188.88477182608696,0.7263106687016023,0.7570670916234205,1.8306125625441345,1.4406204059053063,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2004.0,162.85208599999987,80.83240186206896,-1.0057713302090747,-0.8654291791177293,-1.1135881270800432,-1.0489299488022366,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2005.0,248.1275604999997,112.10577667647058,-0.4997533619806562,-0.20009192845435822,-0.26145418752741584,-0.0895946787364861,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2006.0,558.1893399999999,158.14066395555557,1.340128885615378,1.0808980127413514,0.9929000382890791,0.9195371945330076,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2007.0,377.33362,134.2404122682927,0.26694524737144326,0.46222141430279495,0.34166825574452775,0.43893059388656935,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2008.0,375.16392799999903,129.67813213513512,0.25407046544898154,0.4531101185092912,0.21735568102937597,0.33751104070902976,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2009.0,458.912515,153.55975135483874,0.7510280031726972,0.7714737869462011,0.868079767871782,0.8333163481993022,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2010.0,461.7715549999999,158.63360727777777,0.7679933219864172,0.7812866772171962,1.006331711002186,0.9286659972990777,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2011.0,492.49484999999993,164.63263159375,0.9503029415380781,0.8830600636637244,1.1697925544250496,1.0375430910954888,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2012.0,463.01680999999996,158.04216156249998,0.7753825673552753,0.7855417024857535,0.9902160544610479,0.9177096208079509,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2013.0,481.0683995000002,165.96157930555557,0.8824992816936236,0.8459703861189214,1.206003595153498,1.0611251312704157,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2014.0,531.0324749999994,149.31873905063293,1.1789821815796973,1.0020956462640662,0.7525210683735164,0.7511685604288794,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2015.0,335.61658349999993,133.3391928625,0.01939962919677283,0.2771085593527736,0.3171119151763282,0.4191724768083784,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2016.0,646.4229449999998,154.65320705555553,1.8637001679020435,1.3127715361714232,0.8978741447021644,0.8541285729517507,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2017.0,469.4262309999998,151.87697703225805,0.8134155681794512,0.8072631753963259,0.8222276933390923,0.8009960471339915,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2018.0,570.8007549999998,166.59927797142856,1.4149640317368497,1.1161982556741339,1.2233795476889298,1.0723740633830199,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
2019.0,450.4163175,141.90085169696968,0.7006122344909601,0.7419479498111452,0.5503991799828911,0.6017102788637907,BETSIBOKA.2004,fan,-16.79922,46.93067,Tropical Island,2004
