site_name,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,av_type,site_lat,site_lon,site_area
MALAWI1.2014,1984.0,-0.9520140158415836,-1.476467919009756,-0.9964884070384968,-1.5715663516418694,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1985.0,-0.942594350202874,-1.3972335687145552,-0.8674924655493558,-1.0263341027296236,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1986.0,-0.9194727844432059,-1.2302710334679439,-0.7910750027602548,-0.7957652543946618,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1987.0,-0.7457453617647677,-0.5199320666102918,-0.5201581423225634,-0.22780615748297892,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1989.0,-0.9079973540140228,-1.1586032327463034,-0.8263929391345328,-0.8964892624732322,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1990.0,-0.8118355861131924,-0.7237038704570234,-0.8001723837654895,-0.8208597568739645,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1991.0,-0.7046942052973537,-0.4150241571321932,-0.5293812395863504,-0.24308840569945084,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1992.0,-0.9265114237993597,-1.277571370308616,-0.9019819693778969,-1.1482155369235651,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1993.0,0.06292726837376378,0.5471138245571683,-0.058248129066324456,0.35284643579663905,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1994.0,-0.8859426635669687,-1.0364051958732636,-0.9014830270297318,-1.1463547273718109,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1995.0,-0.8655425690825602,-0.9376873354628829,-0.9069982227665059,-1.1670969024005335,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1996.0,-0.909874708859437,-1.1699046327271652,-0.9386104599008631,-1.2939929568213764,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1997.0,-0.9468637614646478,-1.4321935758935531,-0.9173781486359656,-1.2072045362451684,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1998.0,-0.10903019547399756,0.4097256819924707,-0.40187689984999564,-0.04827885777543779,fan,-13.88624,34.576099,Africa
MALAWI1.2014,1999.0,-0.66419605556894,-0.32329145900850825,-0.7535447331775971,-0.6977853138541892,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2000.0,-0.952091084435161,-1.4771490784003214,-0.9912863639036487,-1.5436178437477257,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2001.0,-0.2469566154638303,0.2798467988776769,-0.3789776949428869,-0.01660666882037263,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2002.0,-0.8596667326340869,-0.9113414437273436,-0.8766688540462765,-1.057493830310242,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2003.0,0.6119975956917344,0.8749243878708123,1.5994305244357336,1.3590519882896692,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2004.0,0.78316079622066,0.9549711541325537,1.0152342692491754,1.096312712246432,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2005.0,1.4066414497856032,1.1939001338454405,0.7196678513993103,0.9355994619106955,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2006.0,-0.8029168812206565,-0.6930416822813554,-0.6883783343528193,-0.5456393786503342,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2007.0,-0.1705596777297092,0.35432962208656144,-0.17632434834250937,0.23050326002543733,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2008.0,1.3609698365008962,1.1785899047698265,0.8101749622416864,0.9872973646299343,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2009.0,-0.6316410216153866,-0.2563818916675176,-0.6425035422902597,-0.44968243198158764,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2010.0,-0.2740767064009606,0.2516766287562624,-0.23511381610543952,0.16423454984310362,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2011.0,-0.6050303989634376,-0.20550157530399168,-0.48059317751752484,-0.164508816807782,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2012.0,-0.04267821061054673,0.4655190380613166,0.2693845505079522,0.6357155301381953,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2013.0,1.1096092858978674,1.0887492034896094,0.4373859647727022,0.757147709302108,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2014.0,0.1033491120606469,0.5763010968433449,0.005308966337152313,0.41357228764162596,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2015.0,1.1554791881332678,1.1059010148109625,0.9388708819464936,1.0569408364355797,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2016.0,1.2413170358430146,1.1370578647726486,0.6042194997945404,0.8660039894241327,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2017.0,1.6216440707172652,1.2623405266895595,2.206004323030597,1.5792620189887208,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2018.0,0.9594102007488726,1.0299140896833137,1.807905100322041,1.4396960224532402,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2019.0,2.266474658317257,1.438656367226425,2.2542123909080782,1.595044302523336,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2020.0,1.9845883867099887,1.3662281921747041,1.550991804655421,1.3394560518759935,fan,-13.88624,34.576099,Africa
MALAWI1.2014,2021.0,1.2103634795658549,1.1259595581519428,1.3623372118624046,1.2597025714810366,fan,-13.88624,34.576099,Africa
