site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,source,country,brooke_width_m,width_m,width_m_note
R5,Tropical Island,1995,-9.4552,149.0769,retrogradational,edmonds et al 2022,Bolivia,,85,average channel width upstream of avulsion site
R51,South America,1993,-9.5171,-74.4019,retrogradational,edmonds et al 2022,Peru,,14,average channel width upstream of avulsion site
R52.1,South America,1984,-14.9519,-66.9966,retrogradational,edmonds et al 2022,Peru,,15,average channel width upstream of avulsion site
R52.2,South America,2012,-14.9361,-66.9754,retrogradational,edmonds et al 2022,Peru,,30,average channel width upstream of avulsion site
R53,South America,2001,-3.2584,139.274,retrogradational,edmonds et al 2022,Bolivia,,13,average channel width upstream of avulsion site
R6,Tropical Island,2006,-9.433,149.0289,retrogradational,edmonds et al 2022,Bolivia,,13,average channel width upstream of avulsion site
R7,Tropical Island,2006,-9.4194,149.053,retrogradational,edmonds et al 2022,Bolivia,,35,average channel width upstream of avulsion site
RUS.002.1988,Asia,1988,50.461424,93.107421,delta,brooke et al 2022,Russia,100,,
RUS.002.1996,Asia,1996,50.481243,93.077127,delta, brooke et al 2022,Russia,50,,
SA0210.1996,South America,1996,11.431154,-69.95073,delta,brooke et al 2022,Venezuela,,,
SA0505.1999,South America,1999,-3.543468,-80.47866,delta,brooke et al 2022,Peru,100,,
SAMBAO.2004,Tropical Island,2004,-16.59976,44.621719,delta,brooke et al 2022,Madagascar,97,,
Sulengguole.1990,Asia,1990,36.8447,96.00454,delta,"Li et al., under review",China,,,
Sulengguole.1997,Asia,1997,36.8447,96.00454,delta,"Li et al., under review",China,,,
Sulengguole.2003,Asia,2003,36.8447,96.00454,delta,"Li et al., under review",China,,,
Sulengguole.2008,Asia,2008,36.8447,96.00454,delta,"Li et al., under review",China,,,
Sulongguole.2007,Asia,2007,36.8447,96.00454,delta,"Li et al., under review",China,,,
SUMA2.2005,Tropical Island,2005,5.2637288,96.854628,delta,brooke et al 2022,Indonesia,50,,
TKMN.001.2008,Central Asia,2008,42.070578,57.652256,fan,brooke et al 2022,Turkmenistan ,,,
TURK.001.1993,Central Asia,1993,38.681588,43.640581,delta,brooke et al 2022,Turkey,,,
TURK.002.1991,Central Asia,1991,40.143437,28.556474,delta,brooke et al 2022,Turkey,50,,
UZB.001.1994,Central Asia,1994,39.300571,64.547069,delta,brooke et al 2022,Uzbekistan ,,,
V1,South America,2012,1.1092,-76.2348,fan,valenza et al 2020,Venezuela/Colombia,,198,average channel width at avulsion site
